,repository,path,number,title,commiter,labels,is_bug
38,qqq3/good-weather,repositories/qqq3_good-weather,18,Update basque and spanish translations,2ab88ba7b7f06d2fc06078657f41e354447f74f1,[],0
39,qqq3/good-weather,repositories/qqq3_good-weather,14,Add spanish translation,961ae2becab5046c02c35b53a2001fb9f073fb39,[],0
40,qqq3/good-weather,repositories/qqq3_good-weather,12,Add option to disable weather description,2858ebcb0b6d81a3c1ff794b58bf9d180d3140c9,[],0
41,qqq3/good-weather,repositories/qqq3_good-weather,6,Added Japanese translation,920d77a2fa5d1ca05c361d5338ffb9e698a48b34,[],0
42,qqq3/good-weather,repositories/qqq3_good-weather,5,German translation corrections,36b4e54ffa1efbd36232ca77dddd278d57023669,[],1
43,qqq3/good-weather,repositories/qqq3_good-weather,2,Add basque translation,b4420e903f307cf0ee5b7c9afeff30d90becc780,[],0
44,SecUSo/privacy-friendly-shopping-list,repositories/SecUSo_privacy-friendly-shopping-list,60,Fix typo,886fce67463ae331eeb1e95cc848632da87cee36,[],0
45,SecUSo/privacy-friendly-shopping-list,repositories/SecUSo_privacy-friendly-shopping-list,39,Use ScrollListener for current support library,3fb36ef5d4e4f4eab87f0b12f44e74b4775b3751,[],0
46,SecUSo/privacy-friendly-shopping-list,repositories/SecUSo_privacy-friendly-shopping-list,35,"Bug Fixes, Refactoring and New Feature",ec99d2de5f6fd08c277a84e2c98ff5c7bb5abe61,[],1
47,SecUSo/privacy-friendly-shopping-list,repositories/SecUSo_privacy-friendly-shopping-list,31,Fixes #30 Typo: Standardeinstellung,0f08fec9a9959a7ba3ff91954aa922d609abd45a,[],1
48,SecUSo/privacy-friendly-shopping-list,repositories/SecUSo_privacy-friendly-shopping-list,29,Update welcome dialog,9040f996e1f1753048ce834fb5b834863ba12b97,[],0
49,SecUSo/privacy-friendly-shopping-list,repositories/SecUSo_privacy-friendly-shopping-list,28,luiscruz contribution: refactor obsoleteLayoutParam,9391deb0936ed6e76317f2ede87efd858991448e,[],0
50,SecUSo/privacy-friendly-shopping-list,repositories/SecUSo_privacy-friendly-shopping-list,27,Android automatic refactor ObsoleteLayoutParam,2db699ebd8be5b8ff3e8e5e5f1334ef199110027,[],0
51,SecUSo/privacy-friendly-shopping-list,repositories/SecUSo_privacy-friendly-shopping-list,26,Point/Comma bug fix,eb17f680734c60f8027f22cbe4999409f8c60ecf,[],1
52,SecUSo/privacy-friendly-shopping-list,repositories/SecUSo_privacy-friendly-shopping-list,23,japanese translation,9ebe6fa8f7f683550a537256e6824e34d468a710,[],0
53,SecUSo/privacy-friendly-shopping-list,repositories/SecUSo_privacy-friendly-shopping-list,18,Alternative solution for #13,fa55d6d69be8428f3d78dbb1ae238f0b6cd9da70,[],0
54,SecUSo/privacy-friendly-shopping-list,repositories/SecUSo_privacy-friendly-shopping-list,17,Reset list,1b6b6df9ff3e8e5962ebd5300475acb211a39060,[],0
55,SecUSo/privacy-friendly-shopping-list,repositories/SecUSo_privacy-friendly-shopping-list,12,Font size according to device settings,f2fe1236aa8469f86911333ed30d9932093c39d4,[],0
56,SecUSo/privacy-friendly-shopping-list,repositories/SecUSo_privacy-friendly-shopping-list,11,"Edit, Delete, Share dialog for products updated",465679e292a269aa2b4b167f83715e381ccf2a24,[],0
57,SecUSo/privacy-friendly-shopping-list,repositories/SecUSo_privacy-friendly-shopping-list,9,"closes #7. Duplicate lists, Screen rotation, ScrollViews, Async Refactoring",91b51f71038f6758aa58ec4c79f69792d4813aad,[],1
